-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::neg         0.86%       9.714ms         1.70%      19.189ms      12.493us       2.622ms         0.52%       2.622ms       1.707us          1536  
                                             aten::view         0.85%       9.570ms         0.85%       9.570ms       0.867us       0.000us         0.00%       0.000us       0.000us         11040  
                                    aten::empty_strided         0.85%       9.528ms         0.85%       9.528ms       2.741us       0.000us         0.00%       0.000us       0.000us          3476  
                                       aten::as_strided         0.81%       9.184ms         0.81%       9.184ms       0.400us       0.000us         0.00%       0.000us       0.000us         22982  
                                        aten::transpose         0.81%       9.144ms         1.19%      13.464ms       1.162us       0.000us         0.00%       0.000us       0.000us         11584  
                     aten::scaled_dot_product_attention         0.81%       9.113ms         8.31%      93.675ms     121.973us       0.000us         0.00%     100.619ms     131.014us           768  
                                         aten::_to_copy         0.78%       8.740ms         4.60%      51.860ms      15.343us       0.000us         0.00%      14.158ms       4.189us          3380  
                                           aten::matmul         0.75%       8.479ms         7.64%      86.112ms      27.459us       0.000us         0.00%     179.527ms      57.247us          3136  
                                            aten::fill_         0.74%       8.315ms         2.11%      23.742ms       9.504us       1.969ms         0.39%       1.970ms       0.789us          2498  
                                            aten::rsqrt         0.70%       7.865ms         1.44%      16.247ms      10.362us       1.395ms         0.28%       1.395ms       0.890us          1568  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.127s
Self CUDA time total: 503.339ms
