-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::pow         0.43%      28.403ms         3.81%     251.198ms     128.687us      16.412ms         0.41%      28.130ms      14.411us          1952  
                                              aten::sum         0.34%      22.125ms         1.72%     113.034ms      62.623us      18.512ms         0.46%      18.565ms      10.285us          1805  
                                            aten::empty         0.32%      21.039ms         0.32%      21.039ms       2.507us       0.000us         0.00%       0.000us       0.000us          8393  
                                           MulBackward0         0.31%      20.459ms         4.78%     314.787ms     178.047us       0.000us         0.00%     123.239ms      69.706us          1768  
                                             aten::add_         0.29%      19.040ms         3.01%     198.028ms      48.727us      59.889ms         1.50%      59.889ms      14.736us          4064  
                                        cudaMemsetAsync         0.27%      18.079ms         0.27%      18.079ms       6.608us       0.000us         0.00%       0.000us       0.000us          2736  
          aten::_scaled_dot_product_efficient_attention         0.27%      17.522ms         0.59%      39.118ms      67.912us       0.000us         0.00%     202.436ms     351.452us           576  
                                             aten::view         0.25%      16.507ms         0.25%      16.507ms       1.368us       0.000us         0.00%       0.000us       0.000us         12069  
      autograd::engine::evaluate_function: MulBackward0         0.22%      14.647ms         7.71%     507.839ms     287.239us       0.000us         0.00%     134.847ms      76.271us          1768  
                                             aten::mean         0.22%      14.470ms         0.36%      23.746ms      20.123us       8.587ms         0.22%       8.587ms       7.277us          1180  
                                                aten::t         0.22%      14.433ms         0.40%      26.047ms       2.754us       0.000us         0.00%       0.000us       0.000us          9459  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 6.589s
Self CUDA time total: 3.988s
